,variable,value,var_cat,category
0,CT,27,CT,nodes
1,CT,26,CT,nodes
2,CT,24,CT,nodes
3,CT,25,CT,nodes
4,CT,26,CT,nodes
5,CT,27,CT,nodes
6,CT,27,CT,nodes
7,CT,27,CT,nodes
8,CT,27,CT,nodes
9,CT,27,CT,nodes
10,CT,25,CT,nodes
11,CT,26,CT,nodes
12,CT,25,CT,nodes
13,CT,27,CT,nodes
14,CT,25,CT,nodes
15,CT,25,CT,nodes
16,CT,27,CT,nodes
17,CT,26,CT,nodes
18,CT,24,CT,nodes
19,CT,27,CT,nodes
20,CT,26,CT,nodes
21,CT,26,CT,nodes
22,CT,25,CT,nodes
23,CT,26,CT,nodes
24,CT,25,CT,nodes
25,CT,24,CT,nodes
26,CT,25,CT,nodes
27,CT,23,CT,nodes
28,CT,26,CT,nodes
29,CT,27,CT,nodes
30,CT,24,CT,nodes
31,CT,27,CT,nodes
32,CT,21,CT,nodes
33,CT,27,CT,nodes
34,CT,26,CT,nodes
35,CT,25,CT,nodes
36,CT,26,CT,nodes
37,CT,23,CT,nodes
38,CT,23,CT,nodes
39,CT,27,CT,nodes
40,CT,20,CT,nodes
41,CT,27,CT,nodes
42,CT,24,CT,nodes
43,CT,11,CT,nodes
44,CT,25,CT,nodes
45,CT,26,CT,nodes
46,CT,25,CT,nodes
47,CT,26,CT,nodes
48,CT,26,CT,nodes
49,CT,23,CT,nodes
50,CT,24,CT,nodes
51,CT,27,CT,nodes
52,CT,26,CT,nodes
53,CT,26,CT,nodes
54,CT,27,CT,nodes
55,CT,26,CT,nodes
56,CT,27,CT,nodes
57,CT,25,CT,nodes
58,CT,26,CT,nodes
59,CT,25,CT,nodes
60,CT,19,CT,nodes
61,CT,26,CT,nodes
62,CT,26,CT,nodes
63,CT,27,CT,nodes
64,CT,25,CT,nodes
65,CT,26,CT,nodes
66,CT,27,CT,nodes
67,CT,25,CT,nodes
68,CT,26,CT,nodes
69,CT,26,CT,nodes
70,CT,23,CT,nodes
71,CT,25,CT,nodes
72,CT,12,CT,nodes
73,CT,26,CT,nodes
74,CT,23,CT,nodes
75,CT,25,CT,nodes
76,CT,26,CT,nodes
77,CT,26,CT,nodes
78,CT,27,CT,nodes
79,CT,26,CT,nodes
80,CT,26,CT,nodes
81,CT,27,CT,nodes
82,CT,19,CT,nodes
83,CT,27,CT,nodes
84,CT,19,CT,nodes
85,CT,27,CT,nodes
86,CT,26,CT,nodes
87,CT,27,CT,nodes
88,CT,26,CT,nodes
89,CT,27,CT,nodes
90,CT,16,CT,nodes
91,CT,26,CT,nodes
92,CT,27,CT,nodes
93,CT,24,CT,nodes
94,CT,26,CT,nodes
95,CT,27,CT,nodes
96,CT,26,CT,nodes
97,CT,27,CT,nodes
98,CT,22,CT,nodes
99,CT,27,CT,nodes
100,CT,26,CT,nodes
101,CT,26,CT,nodes
102,CT,27,CT,nodes
103,CT,27,CT,nodes
104,CT,25,CT,nodes
105,CT,26,CT,nodes
106,CT,26,CT,nodes
107,CT,25,CT,nodes
108,CT,26,CT,nodes
109,CT,27,CT,nodes
110,CT,26,CT,nodes
111,CT,27,CT,nodes
112,CT,26,CT,nodes
113,CT,24,CT,nodes
114,CT,16,CT,nodes
115,CT,27,CT,nodes
116,CT,22,CT,nodes
117,CT,25,CT,nodes
118,CT,26,CT,nodes
119,CT,25,CT,nodes
120,CT,23,CT,nodes
121,CT,27,CT,nodes
122,CT,27,CT,nodes
123,CT,26,CT,nodes
124,CT,27,CT,nodes
125,CT,26,CT,nodes
126,CT,26,CT,nodes
127,CT,26,CT,nodes
128,CT,26,CT,nodes
129,CT,26,CT,nodes
130,CT,27,CT,nodes
131,CT,26,CT,nodes
132,CT,24,CT,nodes
133,CT,26,CT,nodes
134,CT,25,CT,nodes
135,CT,21,CT,nodes
136,CT,25,CT,nodes
137,CT,25,CT,nodes
138,CT,26,CT,nodes
139,CT,27,CT,nodes
140,CT,27,CT,nodes
141,CT,27,CT,nodes
142,CT,23,CT,nodes
143,CT,24,CT,nodes
144,CT,24,CT,nodes
145,CT,25,CT,nodes
146,CT,23,CT,nodes
147,CT,26,CT,nodes
148,CT,24,CT,nodes
149,CT,27,CT,nodes
150,CT,25,CT,nodes
151,CT,26,CT,nodes
152,CT,24,CT,nodes
153,CT,26,CT,nodes
154,CT,27,CT,nodes
155,CT,27,CT,nodes
156,CT,27,CT,nodes
157,CT,26,CT,nodes
158,CT,27,CT,nodes
159,CT,18,CT,nodes
160,CT,24,CT,nodes
161,CT,27,CT,nodes
162,CT,26,CT,nodes
163,CT,24,CT,nodes
164,CT,25,CT,nodes
165,CT,25,CT,nodes
166,CT,27,CT,nodes
167,CT,23,CT,nodes
168,CT,27,CT,nodes
169,CT,27,CT,nodes
170,CT,27,CT,nodes
171,CT,26,CT,nodes
172,CT,11,CT,nodes
173,CT,25,CT,nodes
174,CT,27,CT,nodes
175,CT,25,CT,nodes
176,CT,26,CT,nodes
177,CT,26,CT,nodes
178,CT,26,CT,nodes
179,CT,26,CT,nodes
180,CT,26,CT,nodes
181,CT,21,CT,nodes
182,CT,27,CT,nodes
183,CT,27,CT,nodes
184,CT,26,CT,nodes
185,CT,25,CT,nodes
186,CT,22,CT,nodes
187,CT,27,CT,nodes
188,CT,27,CT,nodes
189,CT,18,CT,nodes
190,CT,26,CT,nodes
191,CT,25,CT,nodes
192,CT,27,CT,nodes
193,CT,27,CT,nodes
194,CT,25,CT,nodes
195,CT,26,CT,nodes
196,CT,27,CT,nodes
197,CT,26,CT,nodes
198,CT,23,CT,nodes
199,CT,27,CT,nodes
200,CT,27,CT,nodes
201,CT,27,CT,nodes
202,CT,27,CT,nodes
203,CT,24,CT,nodes
204,CT,26,CT,nodes
205,CT,26,CT,nodes
206,CT,26,CT,nodes
207,CT,24,CT,nodes
208,CT,22,CT,nodes
209,CT,26,CT,nodes
210,CT,26,CT,nodes
211,CT,26,CT,nodes
212,CT,27,CT,nodes
213,CT,26,CT,nodes
214,CT,26,CT,nodes
215,CT,23,CT,nodes
216,CT,26,CT,nodes
217,CT,26,CT,nodes
218,CT,25,CT,nodes
219,CT,27,CT,nodes
220,CT,9,CT,nodes
221,CT,27,CT,nodes
222,CT,14,CT,nodes
223,CT,25,CT,nodes
224,CT,24,CT,nodes
225,CT,27,CT,nodes
226,CT,26,CT,nodes
227,CT,25,CT,nodes
228,CT,21,CT,nodes
229,CT,27,CT,nodes
230,CT,27,CT,nodes
231,CT,10,CT,nodes
232,CT,23,CT,nodes
233,CT,25,CT,nodes
234,CT,26,CT,nodes
235,CT,26,CT,nodes
236,CT,26,CT,nodes
237,CT,25,CT,nodes
238,CT,23,CT,nodes
239,CT,26,CT,nodes
240,CT,26,CT,nodes
241,CT,25,CT,nodes
242,CT,26,CT,nodes
243,CT,26,CT,nodes
244,CT,25,CT,nodes
245,CT,26,CT,nodes
246,CT,26,CT,nodes
247,CT,26,CT,nodes
248,CT,26,CT,nodes
249,CT,26,CT,nodes
250,CT,26,CT,nodes
251,CT,25,CT,nodes
252,CT,25,CT,nodes
253,CT,26,CT,nodes
254,CT,27,CT,nodes
255,CT,26,CT,nodes
256,CT,27,CT,nodes
257,CT,27,CT,nodes
258,CT,25,CT,nodes
259,CT,27,CT,nodes
260,CT,26,CT,nodes
261,CT,24,CT,nodes
262,CT,24,CT,nodes
263,CT,27,CT,nodes
264,CT,27,CT,nodes
265,CT,26,CT,nodes
266,CT,23,CT,nodes
267,CT,26,CT,nodes
268,CT,26,CT,nodes
269,CT,25,CT,nodes
270,CT,26,CT,nodes
271,CT,27,CT,nodes
272,CT,27,CT,nodes
273,CT,26,CT,nodes
274,CT,26,CT,nodes
275,CT,27,CT,nodes
276,CT,27,CT,nodes
277,CT,26,CT,nodes
278,CT,27,CT,nodes
279,CT,27,CT,nodes
280,CT,26,CT,nodes
281,CT,26,CT,nodes
282,CT,27,CT,nodes
283,CT,26,CT,nodes
284,CT,26,CT,nodes
285,CT,26,CT,nodes
286,CT,26,CT,nodes
287,CT,27,CT,nodes
288,CT,26,CT,nodes
289,CT,27,CT,nodes
290,CT,27,CT,nodes
291,CT,25,CT,nodes
292,CT,26,CT,nodes
293,CT,21,CT,nodes
294,CT,27,CT,nodes
295,CT,26,CT,nodes
296,CT,27,CT,nodes
297,CT,26,CT,nodes
298,CT,26,CT,nodes
299,CT,26,CT,nodes
300,CT,25,CT,nodes
301,CT,25,CT,nodes
302,CT,25,CT,nodes
303,CT,26,CT,nodes
304,CT,24,CT,nodes
305,CT,26,CT,nodes
306,CT,27,CT,nodes
307,CT,27,CT,nodes
308,CT,27,CT,nodes
309,CT,25,CT,nodes
310,CT,26,CT,nodes
311,CT,26,CT,nodes
312,CT,21,CT,nodes
313,CT,27,CT,nodes
314,CT,14,CT,nodes
315,CT,25,CT,nodes
316,CT,26,CT,nodes
317,CT,26,CT,nodes
318,CT,27,CT,nodes
319,CT,26,CT,nodes
320,CT,26,CT,nodes
321,CT,26,CT,nodes
322,CT,27,CT,nodes
323,CT,27,CT,nodes
324,CT,27,CT,nodes
325,CT,26,CT,nodes
326,CT,26,CT,nodes
327,CT,26,CT,nodes
328,CT,26,CT,nodes
329,CT,14,CT,nodes
330,CT,25,CT,nodes
331,CT,27,CT,nodes
332,CT,27,CT,nodes
333,CT,27,CT,nodes
334,CT,23,CT,nodes
335,CT,27,CT,nodes
336,CT,27,CT,nodes
337,CT,23,CT,nodes
338,CT,26,CT,nodes
339,CT,26,CT,nodes
340,CT,26,CT,nodes
341,CT,21,CT,nodes
342,CT,22,CT,nodes
343,CT,26,CT,nodes
344,CT,26,CT,nodes
