,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,emb32,emb33,emb34,emb35,emb36,emb37,emb38,emb39,emb40,emb41,emb42,emb43,emb44,emb45,emb46,emb47,emb48,emb49,emb50,emb51,emb52,emb53,emb54,emb55,emb56,emb57,emb58,emb59,emb60,emb61,emb62,emb63,emb64,emb65,emb66,emb67,emb68,emb69,emb70,emb71,emb72,emb73,emb74,emb75,emb76,emb77,emb78,emb79,emb80,emb81,emb82,emb83,emb84,emb85,emb86,emb87,emb88,emb89,emb90,emb91,emb92,emb93,emb94,emb95,emb96,emb97,emb98,emb99,emb100,emb101,emb102,emb103,emb104,emb105,emb106,emb107,emb108,emb109,emb110,emb111,emb112,emb113,emb114,emb115,emb116,emb117,emb118,emb119,emb120,emb121,emb122,emb123,emb124,emb125,emb126,emb127,emb128
R4567280,0.4241193630693464,0.5050679849015307,0.4694439028739901,0.5294683279894531,0.2842385996492479,0.459294653121233,0.4598296735541719,0.49388916501749097,0.4821888059494775,0.4809903937431928,0.4353739586802112,0.47400528573015344,0.5437909312408434,0.3188721305889985,0.5017800096249782,0.44462183963348206,0.34671453685127257,0.3830389175731718,0.5055121772948803,0.3657587250522254,0.49413612382637223,0.4716895387890698,0.4412024723169148,0.4844827937330363,0.3650550219051615,0.4452075680991448,0.48095473745087003,0.4653249243409047,0.45625477316154994,0.4899902070454774,0.3941490306777666,0.44872835579419634,0.42992263535462116,0.4900823332236974,0.4276924046866743,0.4297894366442874,0.48776216696663693,0.46203459835876937,0.4469770496429996,0.38829394997628847,0.48093031505859335,0.5243023663851982,0.49182105583588365,0.47081837163106477,0.45197729795958425,0.3814583722602645,0.5067487779894299,0.43716922302923183,0.4670033707475569,0.38910713521973184,0.4517871423529409,0.38629494315313045,0.44877057027428907,0.477929864794624,0.486996749541285,0.43839869338384263,0.44854066278881705,0.48049000064070146,0.45463504729008697,0.42508728190297135,0.46681944197857245,0.4410023950565288,0.4097217009245238,0.45938075049161353,0.4779946103827838,0.3307374611678056,0.435865825392468,0.4720035918192954,0.4355595626251027,0.5601284304083928,0.47487927402512203,0.37604963182417545,0.4154484455196064,0.4444742496010929,0.4121762162189121,0.4788570732660308,0.4669991945272978,0.48511998933519485,0.3232202785741056,0.45962741846188554,0.41838661659899723,0.4628312581451427,0.444864494962541,0.45664488725916536,0.4220848353610695,0.38713735559963464,0.36612951187085957,0.46967044167505334,0.4707300244586882,0.4991804598230956,0.40608870358475885,0.38512315301583716,0.3973483726856882,0.46783473397167247,0.42646281688601256,0.4094080672209418,0.426930927187177,0.45197590235300444,0.4680607070676181,0.4862858594376061,0.47470492974463174,0.4884942621547177,0.4402576744237528,0.43954420487953755,0.44810372160512285,0.5150148566627298,0.45280665025941463,0.4350216459508291,0.3531719872889185,0.5638559100761663,0.5023170006366259,0.42627816134504676,0.4263300359373677,0.4409822981280235,0.40482663024914317,0.4427750988556998,0.5098074832340225,0.5022946080517485,0.43480296821719083,0.5121082970265108,0.4317813709902993,0.36209249724483006,0.4821890057207777,0.42631764477491035,0.4286230399654386,0.4666114961142915,0.43873055259447113,0.44049446975442563
R7202764,0.4323345655506036,0.4582073135337832,0.44493163056868346,0.48502580349957497,0.3619284691533509,0.4460517800336889,0.434608138770055,0.4682903233128213,0.474831501660912,0.46447136774387576,0.43649324483987645,0.47243231305684374,0.48409842749891496,0.3594329732791082,0.4692376436002893,0.43248082174222535,0.39228660992429626,0.40666992653208106,0.4842354099223324,0.42209116349387377,0.4592068340516946,0.45159929048774394,0.42196638276856424,0.4523113529112939,0.4227964319524459,0.4321802475410985,0.4447551306781354,0.44157050886129906,0.48024447105062645,0.45629780087731986,0.43465797410547047,0.4579760357539959,0.4468215211055581,0.46477084710928435,0.4509555262261289,0.459795199309957,0.4691584256323812,0.4700071512190827,0.45077655479832524,0.426338842268033,0.4539975058977619,0.4743183437851342,0.48058157749489044,0.46643709935449934,0.4650460405191382,0.43028160834761026,0.482623989115409,0.4223532551861226,0.48798844511394524,0.4055765944107786,0.43115837051998346,0.41331751360662045,0.4317695897014337,0.4650956475712769,0.4616945453289838,0.4553857565955574,0.45816234442038434,0.47308463266833134,0.45204370102745556,0.4176536142096969,0.4653234559249335,0.426451766705678,0.40785210357152707,0.4319308729887494,0.45777566319595436,0.3935522858169037,0.4350994356828964,0.4797388079563732,0.4268718419548278,0.4899641191620463,0.46526916877915075,0.4275219213333854,0.442540388728069,0.46188504228763855,0.4524504775164624,0.46168818768541353,0.43704122702126935,0.4782447661162598,0.38657682983809855,0.46541567069888756,0.45185233169386957,0.4369037481973804,0.42925262588230284,0.4384058652128201,0.4503727187455797,0.4236719159257727,0.40785008704982934,0.4673844877521437,0.4602938334607917,0.46156656159434123,0.4258354761827969,0.42235102349618486,0.42790120649809127,0.47628276804107317,0.4510003628058545,0.43730200059890867,0.43346582370831793,0.4682500567832182,0.4464812671822312,0.45924897225644373,0.466386708508867,0.4559181875080288,0.4558945033626894,0.4622411501355545,0.45077381653008375,0.46380834479690797,0.44438397685511544,0.4550695762105474,0.4037087004784677,0.5021650338517485,0.47223066822485427,0.4378945595034066,0.4341138501125678,0.4577104947748294,0.4375525698522414,0.44052162856161553,0.4666135765360865,0.464851056062099,0.4489376057929392,0.47512464280797184,0.44106851798747826,0.41422690478947666,0.4591678508280102,0.449334932788507,0.4524610917041318,0.4406498892287937,0.44199987369365695,0.4365291377435554
R8209563,0.43661240023282244,0.7643615939936145,0.6395137515493784,0.6952634652269,0.20816184185579295,0.4886298810841134,0.6558168889200185,0.5241425228128958,0.4300420197243713,0.4449172766668296,0.5067530313422868,0.3431839090727138,0.717399698737106,0.4702675677630482,0.6142881595890428,0.6223342842369882,0.3126648666192157,0.3878550789613503,0.5282996900791186,0.21027324928323723,0.6585815198266385,0.579993613024598,0.6938784397187558,0.6417341763753549,0.17861335415990393,0.5854892230755507,0.6727547253269127,0.6165294880671441,0.23033470546850265,0.6535359967231116,0.2478168509535133,0.3585948036576763,0.363244119464211,0.5897693379485606,0.27314028643391103,0.2787172579530588,0.5461451093977107,0.34296325023235313,0.43668152311989655,0.3128476525664058,0.6110631949164407,0.7010013414188938,0.4746306853813357,0.42065186347942474,0.3433691317291688,0.1887272129362495,0.5751286250914814,0.6532150377180374,0.25059412459224695,0.4744153835820397,0.638841727097421,0.3526481129577986,0.5852206596491863,0.49059533498510827,0.58185513962687,0.3417173830041099,0.3656629762459046,0.42221677733169893,0.4932076225285627,0.6248330037953918,0.42537151052524613,0.6258649434525406,0.5927447260143635,0.6821879673224689,0.5629942228867038,0.20679203204786262,0.5316167285640996,0.3262731728415842,0.5662610358190115,0.7769956331319803,0.5055636269820376,0.20513823540237072,0.29485039232383553,0.35253898264861505,0.20241516888310082,0.4820443759973051,0.6294765269242082,0.4266513584355439,0.20694710290233367,0.37132450497199876,0.22657160782254396,0.6532435777881999,0.6639285023761275,0.5918465079770897,0.3000876425080982,0.2887473214468497,0.2943302529408745,0.4376903159458744,0.4765727987941447,0.6308458007139036,0.36998260645178127,0.273482129415599,0.3292144420187057,0.32247838683291635,0.2344367404404348,0.34491432545745543,0.4588511377818273,0.2479027669824975,0.5683183035492427,0.6142616180375639,0.4999324862858464,0.6310576706870256,0.3741282118573664,0.31222182174583873,0.4064958571041854,0.7209089790436513,0.5143702844438578,0.33680460592108247,0.2422112896405473,0.7110210867303407,0.5970791304100815,0.40982557486423105,0.42540110444330026,0.2889741881982913,0.2399370441080902,0.45710276950423157,0.7128705299410703,0.685315333977934,0.34984171483463355,0.6849259061033,0.4133744913757075,0.25856796370337204,0.5986875802897722,0.26035106685968745,0.2854734231130542,0.675511212127423,0.4821344448115224,0.5433454040815647
R3077672,0.44720097859256475,0.4546568837549814,0.4494437220221104,0.461980352952887,0.42396720970663393,0.4493291083121529,0.44781754775941174,0.4560289401454629,0.4592442484803098,0.45717406544189715,0.4426282909380808,0.4588068007968359,0.46215302012824006,0.41985089368672945,0.4588635515116867,0.4444280119038849,0.4333450167521722,0.4387808944183856,0.46208852699666025,0.4396776462608649,0.45792105530967825,0.4502588901993867,0.44179511620432144,0.45285086322926693,0.4401743957276609,0.4447460861162077,0.4451924568305146,0.4461927886452188,0.45744681616978894,0.45532576007912323,0.4464291875746908,0.45220078467588837,0.45037062266122424,0.4545037551932447,0.45207383244581806,0.4529493164197622,0.45638124370500804,0.45539047607072325,0.45122230773216176,0.44006317156567315,0.4515808112089174,0.4578522000356489,0.45849580817312485,0.4565391319819032,0.45536782414114435,0.4430878992178438,0.46101073763066197,0.44210827275982323,0.4618539108061491,0.43643682665966943,0.44772760925332744,0.4401675921777167,0.4493532430525337,0.45749741728967036,0.4567259104894373,0.45068174727902627,0.45209733132817614,0.4580318475778453,0.45036219589896664,0.43860398264379397,0.4556972944661909,0.44283099850359237,0.4373809648719742,0.4472588663602949,0.45418225849201915,0.43239892119411255,0.4467030452441402,0.46098857280597394,0.44285453318766554,0.4659352436641277,0.456171612780837,0.44312127220292985,0.44863782056175383,0.4556785713954733,0.45069383767505816,0.45572305200352226,0.44589137584308897,0.46090073604795573,0.4307934748811793,0.45523674806614245,0.4497912945300268,0.44861613710568365,0.44377085688774087,0.44922431477974306,0.4479880674250951,0.44034488802893873,0.435317795030391,0.4560791859743378,0.452870148739985,0.45568747195232273,0.44460567181449157,0.4420720415615434,0.44336007713626996,0.45791482905113584,0.45269568223420537,0.4461976085424651,0.44531015915447575,0.4571474385779401,0.4535020440750436,0.45248245967573614,0.4538475877750495,0.45168302279943146,0.4516039110610738,0.45398768914726645,0.44957973507838106,0.45715554987234236,0.45068831886872074,0.4486537481173458,0.4356004368280881,0.4669596333862528,0.45921483836331595,0.4491397488214091,0.4463011657171734,0.45483776687817185,0.4466374711606119,0.4477162050909376,0.4574859231671961,0.45615096214889705,0.4506155682566961,0.45780308315868323,0.4492777607020717,0.43986572806294644,0.45211741884342543,0.4516188891954987,0.44935360085673404,0.4491280327593077,0.44878314868936553,0.44729599256027164
R3825485,0.4440989387048838,0.534345204838203,0.4904437710204457,0.52262015597363,0.35191363981931295,0.4632164170668639,0.49300822243723175,0.47478592559775307,0.4502002579682991,0.4562563070818713,0.44830435241403666,0.4308656635882089,0.5350227216762816,0.41542472048924306,0.5036319330779082,0.4800279260076408,0.3885587342324489,0.4220635334859218,0.4891946058912125,0.3739294538212732,0.5147105946116219,0.4772458622321031,0.49413899480394996,0.5022570412405505,0.370565673416408,0.47121559835044613,0.5073467510352198,0.4861748763742282,0.40882547620232057,0.5018100819377057,0.3935620939855793,0.4254810195747735,0.426266140570852,0.4878146608753947,0.4100596429990947,0.403393974868635,0.47867903157998226,0.4277739569157225,0.4528086607298559,0.40952565819867154,0.5002304806577867,0.520943487927,0.47401066016939825,0.43982163038541955,0.42527788837256536,0.3694083582878527,0.4971000272579679,0.48280005194518427,0.4138459591411916,0.4268217183320905,0.49016987908932036,0.41369603061818533,0.48250875094705914,0.4679869288243861,0.4883676122787012,0.4270127735720957,0.4353613971955452,0.45281642047582105,0.45414999662640804,0.4754924389993406,0.4607151616171142,0.4840880573888973,0.4703646180405764,0.4950896592310337,0.4797814618489179,0.36409119307184945,0.46275217883560105,0.4344878819414612,0.46298956738034514,0.5558559755488421,0.47428096459172747,0.37033119474988624,0.41988494410395044,0.439336546525822,0.3942670364124477,0.47682789139220516,0.48527342138508217,0.4552818030293043,0.3549319717661978,0.4391299731256136,0.38259053340442645,0.5031723067046758,0.4918135115040624,0.48797952649585785,0.4074275092955927,0.40222016174094183,0.38949738185530147,0.44858430365721147,0.4656786221375082,0.5100508329670749,0.4232621777897298,0.39434292300839163,0.4078790417635826,0.43048686489081983,0.3919545125966446,0.42158228269982945,0.44362833231763427,0.40166599010412957,0.4819876339039371,0.4916988388915815,0.4649428545121281,0.4959384683160564,0.435771795840645,0.42369268588375747,0.44753944673148227,0.5296405920910284,0.47091391182689596,0.4189733520474131,0.37558821462561665,0.544172238203652,0.4947847535214627,0.4323550463077716,0.4378447375136634,0.41808058390635855,0.39424060551513945,0.4518041945174027,0.5311457082597325,0.516880808333247,0.42802055734492916,0.5160749522392531,0.44501754374007063,0.38679208554677047,0.48806322398334945,0.40150658699432595,0.41457573514324586,0.5004354056350225,0.4494280124584813,0.4773565460232256
R1777884,0.4340695472659545,0.45455269622891,0.4412931875534785,0.4876599327332389,0.29593999069751725,0.44958695768477297,0.4263140723257544,0.4939261384880017,0.4791008090490891,0.46756764818196367,0.4083013105424645,0.48479619353804176,0.5074665525817473,0.2981390966652981,0.4844746056838688,0.39671260584185924,0.35091158768468983,0.3810839854632705,0.513662593229143,0.40043527276021607,0.4810074943209984,0.43408714054561587,0.3858034243743609,0.45349386563060595,0.4050921979265138,0.4048010590016827,0.43846181930244793,0.4253582703100497,0.478194175726745,0.44519456197818913,0.43588555386731065,0.4452503218137952,0.4402798272504217,0.4626670675175497,0.45465346222216746,0.4565424971658716,0.4848251330774364,0.4772520788131348,0.4564102911772765,0.4120932410344104,0.4598705421530335,0.48542576104379087,0.5041174191341419,0.47257891592630963,0.46520969297335596,0.40314052982649257,0.5086669932846946,0.3905506015711507,0.5090863999768093,0.34662571396206027,0.4168760076304397,0.4025826019728425,0.42920128945613734,0.48910469075702334,0.4771134942622878,0.4536088502245319,0.47770283514900863,0.4848877763708962,0.43601878453006354,0.37788214298957334,0.4802109991424052,0.3994536508239501,0.3782289127339285,0.41429380348775247,0.45937698405459265,0.35590506566929614,0.4169112654617302,0.5031421799253606,0.39149208628035675,0.528169237269399,0.47782679436908915,0.38983609543768794,0.44070069992310584,0.4755590851114838,0.45657138432581446,0.47900405684689285,0.41775327777298293,0.49451714839757704,0.328758551164276,0.4836657825896626,0.42722698478370247,0.42885898459014415,0.41661498768835503,0.44310839264170687,0.4333792788634656,0.38567271310543483,0.3881168595584605,0.46687696455033983,0.46731272875313773,0.4711644660440251,0.41221925551369787,0.3943823856268913,0.40159926194013273,0.48382962849133593,0.4535193878943487,0.4285515553296348,0.4206768477620208,0.4750498875232927,0.45508140979075257,0.4591956326060005,0.45694232827436965,0.4536753455315689,0.4601479250434778,0.47413708475476135,0.45070189551190437,0.48403943933238386,0.45739998828302025,0.43969763636744913,0.3591495641841345,0.5524202363961349,0.49016979691845064,0.43165587875396805,0.42061263172605456,0.47845948113341435,0.4310124010773608,0.4331180022363588,0.4820651913980041,0.47975682641670475,0.4486416621206324,0.4805173716525745,0.4509351915068003,0.3831237449998426,0.4595256460790233,0.4558821828474769,0.4536119328684868,0.42967933852406637,0.42212090918965095,0.44052809373430313
R7438391,0.4453449225866749,0.5900378609036107,0.525563953592077,0.5656493498348847,0.32212700254683274,0.46236627398668556,0.5343090230030128,0.48469681711027174,0.45012709825985703,0.45528182803229744,0.46423767915870706,0.4142821655588263,0.5815649510769472,0.4200908971881971,0.5307778757000076,0.5144995047969296,0.3712999158053807,0.41455542007574897,0.4986755326264753,0.33519778374764186,0.5473746710414137,0.5004552701455725,0.5420380228229158,0.5352338394780607,0.3248119778512849,0.4980272807936915,0.5337986683862199,0.5118329550224431,0.3656077621921331,0.5423007829491044,0.36258568178219824,0.4134426084979877,0.4158387411675456,0.5126693102599971,0.3806487562116053,0.37905879915520085,0.49948775119760896,0.4107314462708829,0.4479316265265354,0.381574819173627,0.5240248386118462,0.562707835898385,0.4711391238881311,0.44726231286208606,0.4148323110827877,0.3329029560210626,0.5159244385097954,0.5270607042541402,0.38204660963143516,0.44020736247382636,0.531727458567541,0.39967029868363846,0.510325886659113,0.47740357373041414,0.5117690787335075,0.40544431305194345,0.4157459961651933,0.442877195269245,0.4656677842512775,0.5075387121945228,0.4450563048402306,0.5121840930540915,0.4978381128825901,0.5446287562698833,0.5020309910526994,0.3241864752145304,0.47960730814092095,0.41056039638777714,0.4881327278266127,0.6055503764884402,0.4788828867293479,0.3386909181866335,0.38644302570117545,0.4170017540953478,0.3441476663384796,0.4711463381080454,0.5182272071121437,0.4518699095781939,0.3231642197680791,0.4221871789286071,0.35721038342594225,0.5376859628871511,0.5311406054429134,0.5133468539246566,0.3804348662633018,0.3706844898526614,0.3597858170748904,0.44738646609450966,0.4629045215344892,0.5375791439808818,0.41379698788369523,0.36609618789901643,0.39284682249100034,0.4036530817894739,0.3620549355534651,0.39854803545615336,0.4443070279794765,0.37294717655517773,0.5020388981118994,0.519373372129403,0.4696827415846433,0.5246405701534074,0.419961940822499,0.39515166829042553,0.42906815309765256,0.5746152982197477,0.47935706873881784,0.3970620642587553,0.3485050849691207,0.5777104246177381,0.5189791530559332,0.42678728625399037,0.4290278080382436,0.38975850980427534,0.3563834498012514,0.44700601820328484,0.5710488089660473,0.5567559039400551,0.4106961606992844,0.5561211520078396,0.43185866411340007,0.3593289060378634,0.5102365473571058,0.36815808787627896,0.37777733721646223,0.5434721307645437,0.46268882037225806,0.4920719645585614
R9680160,0.4399654598431134,0.4695985326412908,0.45439325104410694,0.4818719139269003,0.37467779747769,0.45459524884068025,0.4500838218595725,0.47229703672586476,0.46348264991461735,0.46463788623112795,0.44126180446290425,0.46546211300262136,0.4916289633764804,0.38967049620525723,0.4729299124044675,0.44249544772323246,0.40533993626773246,0.42200892801400997,0.47709983834995523,0.4157524134810422,0.46992873131637625,0.45584874984165724,0.44065971939597776,0.46426539708956144,0.41753929695729175,0.4436908844109234,0.46308639924904355,0.45525026247274447,0.4567900298069214,0.46278596009403583,0.4272765901995571,0.4517765304644971,0.4424865438842507,0.4658814891996449,0.44429374428209245,0.4422733855303935,0.46749094012095677,0.4579591767686532,0.4501382953397208,0.4281766114908933,0.4636671366912494,0.4806050050376958,0.47127433899980187,0.4596951721907355,0.4548220124495578,0.4207922276895991,0.47435800810895057,0.4387199733620271,0.4619851618375698,0.4171691470886064,0.44726719113566066,0.42336456294602065,0.44887523605297625,0.4646478832743635,0.4663635627470604,0.44747357271852567,0.4533172061306547,0.4650579424309254,0.45041518159130567,0.43402715657017554,0.46235973394707447,0.44179403631073744,0.4288613505379428,0.4474175643815072,0.46178124219190536,0.39847984993741203,0.43974114129408187,0.4647822630633323,0.4386270177644681,0.4983391898648084,0.46020982847772063,0.4180682523448002,0.438211958706213,0.450390665190962,0.4389169672608347,0.46494466555847613,0.45407230160036327,0.46892914127328694,0.39158465798370606,0.4592072820644241,0.43691320156331626,0.4534825831374477,0.44495473317517714,0.4513962791808973,0.44136056781679656,0.42251922096974637,0.4147500990159797,0.45868322939635875,0.4607028359274214,0.4722923956329913,0.4290828222555723,0.42283013554290183,0.426500949503969,0.4618316875001869,0.44432657504008016,0.43457399023860505,0.43896414425789615,0.4536639423587364,0.45707777051473797,0.4645247418340501,0.46022315484336235,0.4649440214686162,0.45087216179618683,0.44888330624115047,0.4524561331685736,0.4773722358898583,0.45067978455745283,0.4447247740382177,0.4069232683314668,0.5037141831857013,0.47200640697007806,0.4387380402228676,0.4396684058145343,0.4508870408470478,0.43469030957875837,0.4477480596053656,0.4749708481506517,0.4710239715541244,0.4470542357294484,0.4760266225442154,0.4461718306594528,0.4094376708553429,0.46421603041639803,0.442909458105916,0.44443001765922885,0.4539945645062535,0.4412854232243432,0.44838898283402795
R9323873,0.4485238847158567,0.5173525919504014,0.4924475455054698,0.502610437258706,0.3897420285248621,0.45989663910711404,0.4936869995137541,0.47056850725641514,0.44722778471018254,0.44966408980993305,0.45910400620943775,0.4282093584133091,0.5123197423133544,0.44694929757790725,0.48974236535426735,0.48369225291284895,0.41406982501671685,0.4340449155827253,0.47349074730954216,0.3968716483457941,0.4973380252600645,0.47518369947567135,0.4971503467969664,0.4918553190874034,0.3898525151244339,0.47459003686048,0.49790341535161553,0.4848243474985714,0.40294582264647344,0.49208391054216066,0.4090071200448807,0.42954972324180407,0.43017755036404803,0.4790193319078703,0.41329487601928044,0.4156477340429614,0.4746804999262273,0.4298268806359025,0.449800432278607,0.41965751612201097,0.48446926574701993,0.5068495149826067,0.45958195068913277,0.445422694118152,0.4271656648133764,0.391703169764141,0.4819346966501574,0.4885960760223659,0.41205072064313997,0.446193214940471,0.48845078823991633,0.4288443119070611,0.47968335376539545,0.4642301435039709,0.4827255474521285,0.42684810040992976,0.43658980023887983,0.44791992981144557,0.4599503386448055,0.4818839066282394,0.44659638472841434,0.48290588900996384,0.4755219474587608,0.5001796900311491,0.4731325338132568,0.39255764388654807,0.466664648498609,0.4270730198234125,0.471542230752833,0.5248231669862922,0.4640493332328807,0.39169769917025177,0.41775859553351863,0.432136983010219,0.3984959407528827,0.46174677005903164,0.48822197160197556,0.449306388539076,0.3897362185076737,0.436528849695613,0.3983259722208618,0.49282528766401584,0.4943489077630663,0.48352758830429077,0.4147025957484112,0.4084203729975379,0.4155641470656343,0.4454504895286775,0.45837770672814127,0.4918749251573064,0.4324848192662585,0.409068958780324,0.4214897831998945,0.4249820833321077,0.4049365074190989,0.4271280092334505,0.45174099150572705,0.40871066084472163,0.4774649809515679,0.486177747642784,0.459103718157058,0.48889346677643836,0.43451742712844893,0.4240233842948989,0.4416470597819255,0.5129682975200429,0.46743189569750615,0.42350530853653007,0.40066784316571463,0.5123990444909428,0.48485294054696343,0.4390836303680027,0.4429451457446263,0.42035653426742936,0.40439359629052635,0.4515192598720561,0.5090002478060369,0.5037343860949318,0.42873588149420383,0.5013775306857662,0.44367746066844865,0.4056138523462206,0.48303176273080267,0.4112825445033961,0.4158024469639361,0.49594039269938667,0.4537566776784108,0.47266318092012366
R7959406,0.4375250047727281,0.4791146749383218,0.4605901575377835,0.49380437324851373,0.3708724457743083,0.44954680046912576,0.45319294586025005,0.4688341932860757,0.4660714629027017,0.4633957316768238,0.4426511905031976,0.459172653149775,0.49590994267214467,0.3822361845532107,0.479486191346007,0.44827724312894884,0.3984263098801297,0.4153548485278,0.4803763546071579,0.40769814544679656,0.4747385900018829,0.4614545141385995,0.44820896156452295,0.4645484829279237,0.40979373439869426,0.45038203056462445,0.4594493639471883,0.45279577828176054,0.4555287190727764,0.47153749848775195,0.4265707059565981,0.4443146650310045,0.44116166060594825,0.4738196129405859,0.4393792632799539,0.44697270610489803,0.47002353911052813,0.4533790375060486,0.4489915697994864,0.4180705129855148,0.4644908733499903,0.485795925350283,0.470021409968723,0.46216389176200695,0.45465961557470613,0.4190753567317185,0.4782202269679316,0.44680591106543704,0.46413365748060703,0.42274614333266103,0.4523839547848306,0.41725619078646936,0.450191524077223,0.4678645318251388,0.47221511389480814,0.4465232757991738,0.4484988594342178,0.4673289061004032,0.45695462349546273,0.43911122496870836,0.4546217806205832,0.44202765958950596,0.43097757442600154,0.4578535477413529,0.46525740947704375,0.39015876743057326,0.44718547321311347,0.4641049242591036,0.44321141643968054,0.5023517897002305,0.46457138815139865,0.4165003475264025,0.4307536381774171,0.4486315445775315,0.4304147650233301,0.4570597099292173,0.45721492747910747,0.4695680901114887,0.3893589646515482,0.4559622399673973,0.43653982923489504,0.45445140425966035,0.4530368129896742,0.4550961411619052,0.4380197761064429,0.41491049865707524,0.4095798848940576,0.4598592243059619,0.4564653068996357,0.4745300914281465,0.42882599916445424,0.42048430947487386,0.42559844468349856,0.45925784084188875,0.4371998099829367,0.4292907504071988,0.43861248321235957,0.4493000709855944,0.459095487305411,0.4680841854915609,0.4648172044532639,0.4651391862670966,0.4448490549780676,0.44686538079854315,0.4425315843426894,0.47990617537904323,0.45222836500699076,0.44247604390675704,0.40510187192815894,0.5037082149097549,0.4765623668466292,0.4355244957818337,0.4382700293020845,0.4445132040280691,0.42818985413028465,0.4440090310978236,0.4799585454119505,0.4795257413465287,0.4409882961579735,0.4889181306515387,0.44167131842298923,0.4098515241966307,0.4647758984685431,0.4349975561314252,0.4382732368097304,0.45983207599014153,0.44692713273663176,0.44442453184954894
