"","AD prior","SCZ prior","Data-driven"
"Micro: IRF8 --> RASGEF1C",0.0413545316856185,0.0397312238570328,0.111030362160729
"Micro: IRF8 --> LILRB1",0.0155948120289466,0.0263643756864566,0.0935162255933459
"Astro: TCF7L2 --> GLIS3",0.0576187744296112,0.0830759190024871,0.150125161104107
"Astro: TCF7L2 --> NHSL1",0.112390070662753,0.120150796259742,0.188290289525918
"Astro: TCF7L2 --> BCL6",0.210609479125342,0.234743917278003,0.152665005760764
"Astro: TCF7L2 --> SLC1A3",0.0994889462816656,0.116538776968987,0.194981587019647
"Astro: TCF7L2 --> PDGFC",0.124451976650278,0.12291272883647,0.195277437590198
"Oligo: FLI1 --> KCNK13",0.050782076937214,0.0381850830825398,0.0737732398938989
"Oligo: FLI1 --> ZFP36L2",0.0783167313978519,0.0662691133819433,0.105754283389385
"Astro: TCF7L2 --> SLC7A14",0.103157477606993,0.117405909214757,0.176931862245378
"NFATC2 --> IKZF1",0.00298218267006661,0.0269681658324653,0.0399586485687278
"SOX5 --> TOX",0.00924650642518421,0.00842073499754599,0.0567811130991727
"OPC: ZEB1 --> PCDH15",0.162847445255183,0.153615204921462,0.122033261622069
"OPC: ZEB1 --> KCNIP1",0.140288321230567,0.163918713085752,0.132021915421165
"OPC: ZEB1 --> POU6F2",0.146805502008922,0.127039995099934,0.119274888425844
"OPC: ZEB1 --> SMOC1",0.155710378734586,0.151846077533313,0.130744177422018
"Immune: RUNX3 --> CD247",0.0489949933065414,0.0445325000900771,0.0465416903942833
"OPC: ZEB1 --> LAMA4",0.145208878107498,0.132524468529333,0.11412851059748
"OPC: ZEB1 --> CDH10",0.139704021935536,0.125496830533064,0.126260157412252
"OPC: ZEB1 --> SEMA5A",0.121444812177875,0.112846445054448,0.114114745186526
"EN_L5_6_NP: ERG --> FER1L6-AS2",0.12102515664758,0.100701307091379,0.112313349390519
"OPC: ZEB1 --> NTNG1",0.110703934527539,0.1205720154269,0.108837844005336
"Micro: NFATC2 --> PALD1",0.00337255342131944,0.0283180795439815,0.0367435109677483
"OPC: ZEB1 --> DISC1",0.0426979318138248,0.0990767037398786,0.0796435922711199
"Oligo: RUNX1 --> ETV6",0.0540267105787922,0.0948909786330167,0.081177381418166
"Astro: TCF7L1 --> IGFBP7",0.169954399901785,0.192672475860944,0.194139966445354
"Astro: TCF7L2 --> ARHGAP31",0.0970991525687511,0.124265974065698,0.162999424612488
"OPC: SOX6 --> SOX5",0.00950544736379268,0.0360601786041069,0.0462896971469136
"Astro: TCF7L2 --> GLI3",0.120207749969114,0.147504414910208,0.17837356944232
"Astro: FOXO1 --> LINC00598",0.158447599150819,0.180791949657878,0.199332820354059
"Astro: TCF7L2 --> PARD3B",0.0823948252483316,0.104727693733562,0.152251444066121
"Oligo: FLI1 --> CMKLR1",0.0818709727400229,0.0588689643349615,0.117163668787463
"Astro: TCF7L1 --> FAM189A2",0.206426079416505,0.23224165191783,0.218952973272417
"Astro: TCF7L1 --> WDR49",0.138406210092393,0.161888127090049,0.173364089095742
"Astro: TCF7L2 --> CACHD1",0.0991135683307086,0.133506647620156,0.177879431722419
"Astro: FOXO1 --> ITPKB",0.136992440276826,0.161238099104002,0.19639675984228
"Astro: TCF7L1 --> ACSS3",0.22592591388136,0.251138225141756,0.222532258694805
"NFATC2 --> LYN",0.00742046455285538,0.0261659742225944,0.0417369590818619
"SOX5 --> SOX6",0.00293746026156799,0.0155236773527798,0.0302865553713942
"ZEB1 --> SOX5",0.0105139883187591,0.0362673379845676,0.0337119516246788
"ERG --> HTR2C",0.0706087260594132,0.0581730807636097,0.081808739649138
