"","AD prior","SCZ prior","Data-driven"
"Micro: IRF8 --> RASGEF1C",0.0205789011940134,0.0288950652431555,0.061697528518779
"Micro: IRF8 --> LILRB1",0.00371556165695232,0.00694270033387218,0.0225581871797392
"Astro: TCF7L2 --> GLIS3",0.16605680839604,0.177481602924136,0.117952475621591
"Astro: TCF7L2 --> NHSL1",0.0319572862809714,0.046153201914223,0.0856004755141857
"Astro: TCF7L2 --> BCL6",0.0615441219331131,0.0704122901580704,0.0559167254742859
"Astro: TCF7L2 --> SLC1A3",0.01202996522908,0.019241806112328,0.0666688170964643
"Astro: TCF7L2 --> PDGFC",0.00562257876108781,0.0112530913645026,0.0485246540330916
"Oligo: FLI1 --> KCNK13",0.142707481829832,0.149100501363205,0.210087106114951
"Oligo: FLI1 --> ZFP36L2",0.0989714830055909,0.0972054099600657,0.18599983661667
"Astro: TCF7L2 --> SLC7A14",0.0213071009376101,0.0334140095717787,0.0971403996613083
"NFATC2 --> IKZF1",0.00163541529369213,0.00641347932379404,0.0218283085316171
"SOX5 --> TOX",0.00322886013636832,0.00376301832502363,0.0310652775357577
"OPC: ZEB1 --> PCDH15",0.018143059690791,0.0197138899937008,0.0542960548130881
"OPC: ZEB1 --> KCNIP1",0.00889964980492281,0.016916826687637,0.0442610153961121
"OPC: ZEB1 --> POU6F2",0.0176624242408446,0.0210992773069811,0.0634610540341428
"OPC: ZEB1 --> SMOC1",0.013754226053268,0.0225194985547964,0.0564401205553611
"Immune: RUNX3 --> CD247",0.00817421291117628,0.00626630070800425,0.0345431109645879
"OPC: ZEB1 --> LAMA4",0.00945280854108314,0.016969694527469,0.0489635128070458
"OPC: ZEB1 --> CDH10",0.0401218873846119,0.0432196337921863,0.0850621490145061
"OPC: ZEB1 --> SEMA5A",0.00786284181204906,0.00895556875842364,0.0415426672898549
"EN_L5_6_NP: ERG --> FER1L6-AS2",0.165878866852438,0.142184555803879,0.195254502076755
"OPC: ZEB1 --> NTNG1",0.0310350983939809,0.0361841855077283,0.0691574657779018
"Micro: NFATC2 --> PALD1",0.00282072202119768,0.023864100557138,0.0196685805993844
"OPC: ZEB1 --> DISC1",0.00484586407677398,0.0157969641996646,0.0385059615201301
"Oligo: RUNX1 --> ETV6",0.0863240635298088,0.113602147886041,0.1301041639819
"Astro: TCF7L1 --> IGFBP7",0.026753399001781,0.0239702314155546,0.0516877476724397
"Astro: TCF7L2 --> ARHGAP31",0.0267285261885118,0.0373901411595206,0.0921165448818293
"OPC: SOX6 --> SOX5",0.00312777752468304,0.0300143835872449,0.0223083483424619
"Astro: TCF7L2 --> GLI3",0.0364170248066302,0.0534302223767456,0.0803930490118094
"Astro: FOXO1 --> LINC00598",0.0451870857952274,0.0576520126790676,0.0988046773563994
"Astro: TCF7L2 --> PARD3B",0.0297969568903964,0.0422919089716336,0.0708903352780075
"Oligo: FLI1 --> CMKLR1",0.152410486698834,0.1477582759252,0.162441622370864
"Astro: TCF7L1 --> FAM189A2",0.0154097379724981,0.0232865063613702,0.0622185401863365
"Astro: TCF7L1 --> WDR49",0.0193271801787844,0.0256690492580332,0.0467761497012055
"Astro: TCF7L2 --> CACHD1",0.02965898167047,0.0429655611859365,0.0723316568739565
"Astro: FOXO1 --> ITPKB",0.0568184034782053,0.064866667523871,0.118589122482421
"Astro: TCF7L1 --> ACSS3",0.0503914088760368,0.0468889799434305,0.0649309041137105
"NFATC2 --> LYN",0.00135380982139179,0.0052868810274702,0.0240508352189007
"SOX5 --> SOX6",0.00139466275700841,0.00408482011414984,0.0179545691684845
"ZEB1 --> SOX5",0.00553604274403731,0.0110288573486699,0.0277410168598502
"ERG --> HTR2C",0.122005132057303,0.114438093535051,0.145000842768129
