edges,logFC,p_values,neg_log10_p
Astro --> Astro,-0.33526284642600823,0.025056285706512416,1.6010833075127013
Astro --> EN_L2_3_IT,-0.724908127446509,0.217563052753048,0.6624148559770089
Astro --> EN_L3_5_IT_1,-0.4567578806755111,0.44720688549414345,0.34949151838395204
Astro --> EN_L3_5_IT_2,-0.38933422407478946,0.2924831185437408,0.5338991953420577
Astro --> EN_L3_5_IT_3,-0.04358241251699328,0.9032561692928969,0.04418906349289064
Astro --> EN_L5_6_NP,-0.3214867183094533,0.47381339994213334,0.3243926611340759
Astro --> EN_L6B,-0.029711045000753875,0.9495285504885154,0.02249197233485812
Astro --> EN_L6_CT,-0.005263913885114094,0.9887791234509367,0.00490071161789293
Astro --> EN_L6_IT_1,0.22152617304863556,0.4760869523147019,0.32231372067918546
Astro --> EN_L6_IT_2,0.05851548869844688,0.866079624808064,0.06244217839247301
Astro --> Endo,0.023383084429823214,0.9750991881701307,0.010951205138417191
Astro --> IN_ADARB2,0.1247365895469167,0.7010047493711355,0.1542790396386346
Astro --> IN_LAMP5_LHX6,0.037405815871360035,0.9238924342582338,0.03437858930741927
Astro --> IN_LAMP5_RELN,-0.20236820458590102,0.6023197081923171,0.22017292627132534
Astro --> IN_PVALB,-0.4948424406430519,0.3227468256680087,0.49113802048415095
Astro --> IN_PVALB_CHC,0.14983056586015833,0.6946875418600382,0.15821048945147506
Astro --> IN_SST,-0.0411741704640834,0.91603330596322,0.0380887355755128
Astro --> IN_VIP,-0.4315300073790131,0.3355792391317969,0.4742049149750283
Astro --> OPC,-0.8135005500960276,0.06454967639047018,1.1901059306583723
Astro --> Oligo,0.8035663015756654,0.18211465275725702,0.7396551099128795
EN_L2_3_IT --> Astro,-0.45121696893131297,0.3155880901233431,0.500879394852068
EN_L2_3_IT --> EN_L2_3_IT,0.08576909376464592,0.5595800408932501,0.2521377843240821
EN_L2_3_IT --> EN_L3_5_IT_1,1.081032942042213,0.00046323331874300873,3.334200210882894
EN_L2_3_IT --> EN_L3_5_IT_2,0.6121132641976165,0.04653762646771193,1.3321957705607166
EN_L2_3_IT --> EN_L3_5_IT_3,0.4259654877663925,0.21611661346594166,0.6653118464473781
EN_L2_3_IT --> EN_L5_6_NP,0.26857966040621556,0.5405234515680152,0.2671854586660213
EN_L2_3_IT --> EN_L6B,0.5742185874015574,0.1157497120519018,0.9364800806938163
EN_L2_3_IT --> EN_L6_CT,0.4486965090122205,0.2347926483811999,0.6293155054544997
