,ad_cf_mean,ad_cf_std,scz_cf_mean,scz_cf_std
Oligo,0.39291805816285835,0.1619672013501712,0.32963697619063503,0.19812099511078274
Astro,0.14113948952831962,0.08755559353700809,0.13787066457151653,0.10671341879737663
EN_L2_3_IT,0.0929397551933247,0.06233086498642332,0.10120309715674146,0.07065647347407523
Micro,0.05728122681251634,0.03729804146014461,0.05841366849224826,0.05828568266779615
OPC,0.0536294333876214,0.03186787835206184,0.07609392278007407,0.059748504080191195
IN_VIP,0.04120126703098899,0.025666421298965153,0.05114676391398122,0.03289159401984616
EN_L3_5_IT_2,0.03061641722048685,0.021213649478154777,0.03760054781536653,0.027564919337462364
EN_L3_5_IT_3,0.029558925910712776,0.020257383602203242,0.03141923012353922,0.023933902713199416
IN_PVALB,0.02705017622300372,0.016868647389425926,0.02910587080251356,0.02097369594381839
IN_SST,0.02378669768736029,0.015600340981753546,0.03582822062383897,0.023515134898954862
IN_ADARB2,0.013624947483994376,0.011592966700034542,0.015245952503883524,0.011458334391219505
EN_L3_5_IT_1,0.012546396464103136,0.009419142059126417,0.011749929757234101,0.009421875756385216
IN_LAMP5_RELN,0.012315203676084492,0.008141687656230115,0.013314923593614551,0.010342763903309387
VLMC,0.009764901786702453,0.02244253150936579,0.005649549225802058,0.009931140530091661
EN_L6_IT_1,0.008970764993017305,0.009327142354868666,0.009014843659742833,0.009208515995370875
EN_L6_CT,0.006991116462140343,0.005400639769973465,0.009187214475574601,0.007144884026055142
IN_LAMP5_LHX6,0.006756242615188923,0.004645025118771289,0.006751938453552478,0.00597396879149667
Endo,0.006602489972431513,0.02973117973298664,0.006282188143295818,0.009569806880274766
IN_PVALB_CHC,0.0064586632605473406,0.004323438273735313,0.008186311527815323,0.006863931975661755
EN_L6B,0.005020937167733565,0.0050574851176675975,0.005517856834767337,0.006215466121706722
PC,0.0046770326723437556,0.004532966519042038,0.0049994950835404945,0.004521466746490803
EN_L5_6_NP,0.0045795388660977415,0.0035279890356674317,0.005441810020854296,0.004668389812187046
PVM,0.004203740286958702,0.007870744247381,0.0028238233644420564,0.004066376112217083
EN_L6_IT_2,0.0035169232017977134,0.003191192583310143,0.003991925948431887,0.0032268253849020026
Immune,0.0021868610182692876,0.0030617231944012123,0.002235205030977347,0.0033754178067122317
SMC,0.0014496722694755622,0.003320922089818531,0.0009591587410897562,0.0017483047720777216
