,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Astro:TCF7L2 -> ZFHX3,0.1098414634381411,0.0725181174056307,0.08389551436471197,0.14147611099111088,0.03382387589630819,0.015130158822023523,0.02809219355173088,0.04603657560573921
Micro:IRF8 -> HCLS1,0.03374140573506088,0.011419105875542663,0.015886814540033264,0.053829851262333785,0.04276749693128095,0.026936343185804304,0.025236508131670374,0.05944856820382458
Oligo:ETV6 -> AOAH,0.04082010790208734,0.017149075437064287,0.02034887073471227,0.06289124271828643,0.02131267297359908,0.012325700772913414,0.015645751127566148,0.02863961999695841
Oligo:IKZF1 -> SLA,0.07159522091545718,0.06790604798563256,0.05906744466046885,0.07970369550786364,0.07008638250453587,0.05412725216758997,0.056859078033728,0.08467959990841283
EN_L5_6_NP:ERG -> EMCN,0.04392367553787449,0.03178580730507327,0.02677665041895607,0.058566122213734334,0.073443594865526,0.0708664388028911,0.05618072104299929,0.08336360980810681
Oligo:FLI1 -> FMNL3,0.10549760227847285,0.08748993025267222,0.08067018207975403,0.12691514839073262,0.13150038003909498,0.11277389569602791,0.11154862769478313,0.1508394983827844
Oligo:RUNX1 -> MSR1,0.051356198963732204,0.028562956104945192,0.030161088018528757,0.07335037586572744,0.08635018464570686,0.0746700305109085,0.07121957966127612,0.09975556420532145
Micro:IRF8 -> LPAR6,0.05184796170472783,0.0243673501809054,0.02551739549699854,0.0787535505705037,0.05803416733424589,0.0415878110895211,0.04185437128981824,0.07434724347882214
Oligo:RUNX1 -> ITGAX,0.07925791077354626,0.06718096448674216,0.06285225119374682,0.09349921370684804,0.09628438091695132,0.08169561915790721,0.08341533317790492,0.11001328566599658
Micro:NFATC2 -> CD74,0.03719151885388637,0.007692419391135324,0.02834876707405964,0.056362444475175265,0.015620688337063898,0.001775107858382715,0.0036985217781614417,0.02850456185585575
EN_L5_6_NP:ERG -> EPAS1,0.03908242692325905,0.032573191623989604,0.035322099035849534,0.04421720851659854,0.12367899561661497,0.10884118886146471,0.09198287886417635,0.14694595737040939
PC:TBX15 -> RNF152,0.021141424006713,0.011806939180444063,0.027479779141555163,0.022639488852426434,0.032310087442477146,0.011667875814078323,0.016028053763915397,0.05077221009595746
Oligo:RUNX1 -> P2RY12,0.047618488575752814,0.029902059217713203,0.027276618258505195,0.06664763841339646,0.05548027885371228,0.04596132734516558,0.04234927992215767,0.06680525407376296
Oligo:FLI1 -> SRGN,0.06600016751676573,0.04570261778447403,0.04173014508352746,0.08828395359953072,0.0873238097867319,0.07541804586327913,0.07047905407391902,0.10169906960486474
Micro:IRF8 -> C1QB,0.04487240606410213,0.01788883902155101,0.013955713167698175,0.07382253603357969,0.08147083552961815,0.07259869069375807,0.06275550178645474,0.09526457481912987
Oligo:ETV6 -> SLCO2B1,0.03653447912344497,0.008682202267237328,0.011997350276595346,0.06272918197497362,0.01603993109034072,0.011761399826360909,0.010703519830422812,0.02084740235228963
Oligo:TCF12 -> SGK1,0.06905717687368232,0.03328284492851724,0.045055101716424684,0.0989453804248937,0.06943810096957358,0.04957610164057222,0.05045582044824721,0.0888602408947375
