,att_all_ave,att_AD_ave,att_SCZ_ave,att_dat_ave
Astro:TCF7L2 -> ZFHX3,0.0004355132776760353,0.042687764750761324,0.03516106311619372,3.3203200455150404e-05
Micro:IRF8 -> HCLS1,0.5586039140170699,0.32861741063886296,0.5091663733758514,0.7574552410756173
Oligo:ETV6 -> AOAH,0.13562741342010737,0.7199211463901851,0.7413484337674923,0.02885698425858262
Oligo:IKZF1 -> SLA,0.9466696302066413,0.6128505385948452,0.9246149523671745,0.8257313959748152
EN_L5_6_NP:ERG -> EMCN,0.2371231232160538,0.20451861810298655,0.22931040900408847,0.3177422013610928
Oligo:FLI1 -> FMNL3,0.2967627746288464,0.3673262999704079,0.2239570922345615,0.36091728867273165
Oligo:RUNX1 -> MSR1,0.053747120473383515,0.01267646816747609,0.014078881838345767,0.24990429277078252
Micro:IRF8 -> LPAR6,0.7760102750848952,0.4444017504783284,0.44516364942496256,0.857989993299876
Oligo:RUNX1 -> ITGAX,0.518897152676784,0.6270051114664463,0.46079430172524416,0.5278869847907197
Micro:NFATC2 -> CD74,0.02523535905568598,0.3304361356935953,0.013998579178138985,0.06771086262645286
EN_L5_6_NP:ERG -> EPAS1,0.0056044315460945906,0.029121179664593873,0.08208207556212371,0.0008220987376639236
PC:TBX15 -> RNF152,0.43346812213611174,0.9876034807566725,0.5854046633789127,0.08134561707354127
Oligo:RUNX1 -> P2RY12,0.6319182217043587,0.33089502907522717,0.3145443178609658,0.9931927189044961
Oligo:FLI1 -> SRGN,0.3499331779667725,0.24262031343413498,0.2001732356019701,0.5708146998985457
Micro:IRF8 -> C1QB,0.12220488694847847,0.038511171174095936,0.02605478931248624,0.4074060691095255
Oligo:ETV6 -> SLCO2B1,0.0031885287195413422,0.4918673818086846,0.8350352808030641,8.777281057125203e-05
Oligo:TCF12 -> SGK1,0.9848493944466916,0.44212450880419163,0.8076650525006341,0.6556251460821649
Oligo:RUNX1 -> HCK,0.8091116753983009,0.6247226901812487,0.4070014205363899,0.8586319393205859
Oligo:IKZF1 -> ARHGAP15,0.042244443522066556,0.3070662045596395,0.11463312030382382,0.008101117691801758
IN_SST:MAFB -> PRDM1,0.44643171182063723,0.3199696438064482,0.2727681912415537,0.8692172999302731
Oligo:ETV6 -> TGFBR1,0.0076553785272970324,0.6608058403082908,0.619477409753667,0.000584032460602618
Oligo:RUNX1 -> SRGAP2B,3.775420145593443e-05,3.9320360249769905e-05,0.00017168930384892675,6.995000261785318e-05
Oligo:IKZF1 -> ALPK1,0.12921902048117961,0.3146038087145697,0.18791107146115404,0.09209399817862497
Oligo:RUNX1 -> PALD1,0.0675819244812791,0.2671293580833514,0.21753638011293577,0.06518143017623146
Oligo:IKZF1 -> LAPTM5,0.07794457588695983,0.19733757005881397,0.044192692004088194,0.08063179260442574
Micro:IRF8 -> CTSC,0.44500942278999156,0.24327167315304363,0.26766551905402997,0.7415495082538559
Immune:RUNX3 -> SAMD3,0.23711041697418228,0.20447579249007264,0.10855740429312499,0.5529321255672761
Oligo:IKZF1 -> MAML3,0.640081332240948,0.36329875024475755,0.33308645358779,0.9729449237810444
Oligo:FLI1 -> SFMBT2,0.007684449564872888,0.012398149933291244,0.005627467811678974,0.011684138327103662
Oligo:FLI1 -> ARHGAP24,0.0969702942898033,0.12696394945754969,0.08933737379730726,0.10916096771270895
PC:TBX15 -> ADGRD1,0.4747593381457196,0.19529478499075875,0.2798804509005869,0.9052243364118664
Oligo:FLI1 -> PIK3AP1,0.9892397131962468,0.7656413967737536,0.8069777643075833,0.8079015299453145
