"X","node","phen1","phen2","celltype","condition","corr","Method"
0,"Oligo:TF:TCF12","AD_c15x","Age","Oligo","Control",0.0614481305523568,"Gene
Import
ance
Score"
1,"Oligo:TF:TCF12","AD_c15x","Age","Oligo","AD",0.121288176571179,"Gene
Import
ance
Score"
2,"Oligo:TG:ADAM28","AD_c15x","Age","Oligo","Control",0.15219144031985,"Gene
Import
ance
Score"
3,"Oligo:TG:ADAM28","AD_c15x","Age","Oligo","AD",0.0308872331740872,"Gene
Import
ance
Score"
4,"Oligo:TG:APBB1IP","AD_c15x","Age","Oligo","Control",0.152356084550718,"Gene
Import
ance
Score"
5,"Oligo:TG:APBB1IP","AD_c15x","Age","Oligo","AD",0.0203768849873056,"Gene
Import
ance
Score"
6,"Oligo:TG:ATP8B4","AD_c15x","Age","Oligo","Control",0.382598276795735,"Gene
Import
ance
Score"
7,"Oligo:TG:ATP8B4","AD_c15x","Age","Oligo","AD",0.142674837802451,"Gene
Import
ance
Score"
8,"Oligo:TG:CSF1R","AD_c15x","Age","Oligo","Control",0.0382219264278533,"Gene
Import
ance
Score"
9,"Oligo:TG:CSF1R","AD_c15x","Age","Oligo","AD",0.0970107841382746,"Gene
Import
ance
Score"
10,"Oligo:TG:DOCK8","AD_c15x","Age","Oligo","Control",0.235149964886006,"Gene
Import
ance
Score"
11,"Oligo:TG:DOCK8","AD_c15x","Age","Oligo","AD",0.104820344699813,"Gene
Import
ance
Score"
12,"Oligo:TG:INPP5D","AD_c15x","Age","Oligo","Control",0.124411776446276,"Gene
Import
ance
Score"
13,"Oligo:TG:INPP5D","AD_c15x","Age","Oligo","AD",0.0764529828415935,"Gene
Import
ance
Score"
14,"Oligo:TG:LPAR6","AD_c15x","Age","Oligo","Control",0.150232424569869,"Gene
Import
ance
Score"
15,"Oligo:TG:LPAR6","AD_c15x","Age","Oligo","AD",0.058042222347044,"Gene
Import
ance
Score"
16,"Oligo:TG:LYN","AD_c15x","Age","Oligo","Control",0.0433328424177259,"Gene
Import
ance
Score"
17,"Oligo:TG:LYN","AD_c15x","Age","Oligo","AD",0.0199419273291571,"Gene
Import
ance
Score"
18,"Oligo:TG:PALD1","AD_c15x","Age","Oligo","Control",0.115175125482237,"Gene
Import
ance
Score"
19,"Oligo:TG:PALD1","AD_c15x","Age","Oligo","AD",0.0751870114920729,"Gene
Import
ance
Score"
20,"Oligo:TG:PTPRC","AD_c15x","Age","Oligo","Control",0.132983569423215,"Gene
Import
ance
Score"
21,"Oligo:TG:PTPRC","AD_c15x","Age","Oligo","AD",0.042714057617694,"Gene
Import
ance
Score"
22,"Oligo:TG:RBM47","AD_c15x","Age","Oligo","Control",0.0016846459145284,"Gene
Import
ance
Score"
23,"Oligo:TG:RBM47","AD_c15x","Age","Oligo","AD",0.0606820031022997,"Gene
Import
ance
Score"
24,"Oligo:TG:RHBDF2","AD_c15x","Age","Oligo","Control",0.0132294552894241,"Gene
Import
ance
Score"
25,"Oligo:TG:RHBDF2","AD_c15x","Age","Oligo","AD",0.0209066341184098,"Gene
Import
ance
Score"
26,"Oligo:TG:RUNX1","AD_c15x","Age","Oligo","Control",0.0955879583309034,"Gene
Import
ance
Score"
27,"Oligo:TG:RUNX1","AD_c15x","Age","Oligo","AD",0.185453382758751,"Gene
Import
ance
Score"
28,"Oligo:TG:SLCO2B1","AD_c15x","Age","Oligo","Control",0.215559680418704,"Gene
Import
ance
Score"
29,"Oligo:TG:SLCO2B1","AD_c15x","Age","Oligo","AD",0.0693020120237717,"Gene
Import
ance
Score"
30,"Oligo:TG:SP100","AD_c15x","Age","Oligo","Control",0.038090158896399,"Gene
Import
ance
Score"
31,"Oligo:TG:SP100","AD_c15x","Age","Oligo","AD",0.0070466501083828,"Gene
Import
ance
Score"
32,"Oligo:TG:SRGAP2","AD_c15x","Age","Oligo","Control",0.101054487035532,"Gene
Import
ance
Score"
33,"Oligo:TG:SRGAP2","AD_c15x","Age","Oligo","AD",0.131139281573351,"Gene
Import
ance
Score"
34,"Oligo:TG:ST6GAL1","AD_c15x","Age","Oligo","Control",0.237165057848884,"Gene
Import
ance
Score"
35,"Oligo:TG:ST6GAL1","AD_c15x","Age","Oligo","AD",0.101658858933429,"Gene
Import
ance
Score"
36,"Oligo:TG:SYK","AD_c15x","Age","Oligo","Control",0.175725945484084,"Gene
Import
ance
Score"
37,"Oligo:TG:SYK","AD_c15x","Age","Oligo","AD",0.0818682604809594,"Gene
Import
ance
Score"
38,"Oligo:TG:TBXAS1","AD_c15x","Age","Oligo","Control",0.0166128318322395,"Gene
Import
ance
Score"
39,"Oligo:TG:TBXAS1","AD_c15x","Age","Oligo","AD",0.134800376076066,"Gene
Import
ance
Score"
40,"Oligo:TG:TGFBR2","AD_c15x","Age","Oligo","Control",0.214728405566231,"Gene
Import
ance
Score"
41,"Oligo:TG:TGFBR2","AD_c15x","Age","Oligo","AD",0.0874700865069235,"Gene
Import
ance
Score"
42,"PC:TG:EBF1","AD_c15x","Age","PC","Control",0.0902350329844389,"Gene
Import
ance
Score"
43,"PC:TG:EBF1","AD_c15x","Age","PC","AD",0.0183337347969036,"Gene
Import
ance
Score"
44,"EN_L3_5_IT_3:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_3","Control",0.0136531411177553,"Gene
Import
ance
Score"
45,"EN_L3_5_IT_3:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_3","AD",0.12124813458573,"Gene
Import
ance
Score"
46,"EN_L2_3_IT:TF:ZMAT4","AD_c15x","Age","EN_L2_3_IT","Control",0.0895056297264469,"Gene
Import
ance
Score"
47,"EN_L2_3_IT:TF:ZMAT4","AD_c15x","Age","EN_L2_3_IT","AD",0.167289089485599,"Gene
Import
ance
Score"
48,"IN_PVALB_CHC:TF:ARX","AD_c15x","Age","IN_PVALB_CHC","Control",0.137401140732513,"Gene
Import
ance
Score"
49,"IN_PVALB_CHC:TF:ARX","AD_c15x","Age","IN_PVALB_CHC","AD",0.00612219380484777,"Gene
Import
ance
Score"
50,"IN_PVALB_CHC:TF:LHX6","AD_c15x","Age","IN_PVALB_CHC","Control",0.165043787369253,"Gene
Import
ance
Score"
51,"IN_PVALB_CHC:TF:LHX6","AD_c15x","Age","IN_PVALB_CHC","AD",0.03139240343558,"Gene
Import
ance
Score"
52,"IN_PVALB_CHC:TG:DLX6-AS1","AD_c15x","Age","IN_PVALB_CHC","Control",0.167224285370352,"Gene
Import
ance
Score"
53,"IN_PVALB_CHC:TG:DLX6-AS1","AD_c15x","Age","IN_PVALB_CHC","AD",0.0915774756754719,"Gene
Import
ance
Score"
54,"IN_PVALB_CHC:TG:GAD2","AD_c15x","Age","IN_PVALB_CHC","Control",0.177531979267003,"Gene
Import
ance
Score"
