"","x"
"1","AKT1"
"2","MAGI2"
"3","GRIN2B"
"4","HTR2A"
"5","NOS1"
"6","RELN"
"7","SHANK3"
"8","NRXN1"
"9","RTN4R"
"10","SP4"
"11","NRG3"
"12","CNR1"
"13","DISC1"
"14","GSK3B"
"15","APOE"
"16","SLC6A3"
"17","DTNBP1"
"18","CPLX2"
"19","PLCB1"
"20","SLC6A1"
"21","MTOR"
"22","CHI3L1"
"23","COMT"
"24","DRD3"
"25","DAOA"
"26","DISC2"
"27","GRM3"
"28","NRG1"
"29","HLA-DRB1"
"30","MTHFR"
"31","NRGN"
"32","PDE4B"
"33","PRODH"
"34","SLC1A1"
"35","ZNF804A"
"36","SYN2"
"37","TSPAN18"
"38","NKAPL"
"39","PGBD1"
"40","FGFR1"
"41","ZKSCAN4"
"42","DPYD"
"43","APOL2"
"44","KLF12"
"45","DAO"
"46","DRD1"
"47","DRD2"
"48","DRD4"
"49","F2"
"50","PLCL2"
"51","GABRB2"
"52","GAD1"
"53","CNTNAP2"
"54","NR3C1"
"55","GRM2"
"56","HTR6"
"57","IL1B"
"58","IL6"
"59","MIR137"
"60","MAOB"
"61","NTF3"
"62","AHI1"
"63","VPS35"
"64","RTN4"
"65","PVALB"
"66","BDNF"
"67","CCL2"
"68","SLC6A4"
"69","TNF"
"70","TPH1"
"71","APOL4"
"72","DLG1"
"73","NDUFV2"
"74","OXTR"
"75","TP53"
"76","VIPR2"
"77","GAD2"
"78","PCM1"
"79","AVP"
"80","NTNG1"
"81","HINT1"
"82","HTR7"
"83","PIK3CB"
"84","PLXNA2"
"85","SYP"
"86","CHL1"
"87","NTRK1"
"88","CPLX1"
"89","GRIK2"
"90","HP"
"91","MET"
"92","NTNG2"
"93","SELENBP1"
"94","DGCR2"
"95","GRIN2D"
"96","IL6R"
"97","RGS9"
"98","EPHX2"
"99","GABRA6"
"100","GC"
"101","GSK3A"
"102","IL2RA"
"103","NTSR1"
"104","PAK2"
"105","SRSF1"
"106","CAMK2B"
"107","TRRAP"
"108","HNRNPA3"
"109","VPS39"
"110","GRIK5"
"111","HRH1"
"112","HCAR2"
"113","KCNB1"
"114","KDR"
"115","LRP1"
"116","PHB"
"117","WDR11"
"118","PAG1"
"119","TAC1"
"120","BTG1"
"121","THBS1"
"122","DIXDC1"
"123","RB1CC1"
