,barcodekey,subclass
0,key1-0,Oligo
1,key2-0,Oligo
2,key3-0,Oligo
3,key4-0,IN_PVALB
4,key5-0,IN_VIP
5,key6-0,Oligo
6,key7-0,Oligo
7,key8-0,Oligo
8,key9-0,Micro
9,key10-0,EN_L2_3_IT
10,key11-0,Oligo
11,key12-0,Oligo
12,key13-0,Astro
13,key14-0,Oligo
14,key15-0,EN_L3_5_IT_1
15,key16-0,PC
16,key17-0,Astro
17,key18-0,Oligo
18,key19-0,Astro
19,key20-0,IN_LAMP5_LHX6
20,key21-0,Oligo
21,key22-0,Oligo
22,key23-0,OPC
23,key24-0,Oligo
24,key25-0,Oligo
25,key26-0,OPC
26,key27-0,Oligo
27,key28-0,EN_L2_3_IT
28,key29-0,Oligo
29,key30-0,Oligo
30,key31-0,EN_L3_5_IT_2
31,key32-0,Oligo
32,key33-0,Oligo
33,key34-0,Oligo
34,key35-0,Micro
35,key36-0,EN_L2_3_IT
36,key37-0,EN_L3_5_IT_3
37,key38-0,EN_L3_5_IT_2
38,key39-0,Oligo
39,key40-0,Oligo
40,key41-0,Astro
41,key42-0,Astro
42,key43-0,IN_LAMP5_RELN
43,key44-0,EN_L2_3_IT
44,key45-0,IN_VIP
45,key46-0,Oligo
46,key47-0,Astro
47,key48-0,EN_L6_CT
48,key49-0,Oligo
49,key50-0,Oligo
50,key51-0,VLMC
51,key52-0,Micro
52,key53-0,Oligo
53,key54-0,Micro
54,key55-0,Astro
55,key56-0,IN_SST
56,key57-0,IN_SST
57,key58-0,Astro
58,key59-0,Oligo
59,key60-0,Astro
60,key61-0,Astro
61,key62-0,Oligo
62,key63-0,Micro
63,key64-0,PVM
64,key65-0,EN_L3_5_IT_2
65,key66-0,IN_PVALB
66,key67-0,OPC
67,key68-0,EN_L2_3_IT
68,key69-0,Micro
69,key70-0,EN_L2_3_IT
70,key71-0,IN_SST
71,key72-0,IN_SST
72,key73-0,Astro
73,key74-0,EN_L2_3_IT
74,key75-0,Oligo
75,key76-0,EN_L2_3_IT
76,key77-0,IN_VIP
77,key78-0,Oligo
78,key79-0,EN_L2_3_IT
79,key80-0,Oligo
80,key81-0,OPC
81,key82-0,OPC
82,key83-0,Oligo
83,key84-0,Micro
84,key85-0,Astro
85,key86-0,Micro
86,key87-0,EN_L2_3_IT
87,key88-0,IN_VIP
88,key89-0,IN_PVALB_CHC
89,key90-0,Oligo
90,key91-0,IN_SST
91,key92-0,EN_L2_3_IT
92,key93-0,Oligo
93,key94-0,Oligo
94,key95-0,Oligo
95,key96-0,EN_L2_3_IT
96,key97-0,IN_PVALB
97,key98-0,IN_SST
98,key99-0,Astro
99,key100-0,IN_PVALB
100,key101-0,Micro
101,key102-0,Oligo
